Link,Min_or_Max,Path,t
link,Min,0,-6.0000
link,Min,1,-5.7500
link,Min,2,-5.5000
link,Min,3,-5.2500
link,Min,4,-5.0000
link,Min,5,-4.7500
link,Min,6,-4.5000
link,Min,7,-4.2500
link,Min,8,-4.0000
link,Min,9,-3.7500
link,Min,10,-3.5000
link,Min,11,-3.2500
link,Min,12,-3.0000
link,Min,13,-2.7500
link,Min,14,-2.5000
link,Min,15,-2.2500
link,Min,16,-2.0000
link,Min,17,-1.7500
link,Min,18,-1.5000
link,Min,19,-1.2500
link,Min,20,-1.0000
link,Min,21,-0.7500
link,Min,22,-0.5000
link,Min,23,-0.2500
link,Min,24,0.0000
link,Min,25,0.2500
link,Min,26,0.5000
link,Min,27,0.7500
link,Min,28,1.0000
link,Min,29,1.2500
link,Min,30,1.5000
link,Min,31,1.7500
link,Min,32,2.0000
link,Min,33,2.2500
link,Min,34,2.5000
link,Min,35,2.7500
link,Min,36,3.0000
link,Min,37,3.2500
link,Min,38,3.5000
link,Min,39,3.7500
link,Min,40,4.0000
link,Min,41,4.2500
link,Min,42,4.5000
link,Min,43,4.7500
link,Min,44,5.0000
link,Min,45,5.2500
link,Min,46,5.5000
link,Min,47,5.7500
link,Min,48,6.0000
link,Max,49,6.0000
link,Max,50,5.7500
link,Max,51,5.5000
link,Max,52,5.2500
link,Max,53,5.0000
link,Max,54,4.7500
link,Max,55,4.5000
link,Max,56,4.2500
link,Max,57,4.0000
link,Max,58,3.7500
link,Max,59,3.5000
link,Max,60,3.2500
link,Max,61,3.0000
link,Max,62,2.7500
link,Max,63,2.5000
link,Max,64,2.2500
link,Max,65,2.0000
link,Max,66,1.7500
link,Max,67,1.5000
link,Max,68,1.2500
link,Max,69,1.0000
link,Max,70,0.7500
link,Max,71,0.5000
link,Max,72,0.2500
link,Max,73,0.0000
link,Max,74,-0.2500
link,Max,75,-0.5000
link,Max,76,-0.7500
link,Max,77,-1.0000
link,Max,78,-1.2500
link,Max,79,-1.5000
link,Max,80,-1.7500
link,Max,81,-2.0000
link,Max,82,-2.2500
link,Max,83,-2.5000
link,Max,84,-2.7500
link,Max,85,-3.0000
link,Max,86,-3.2500
link,Max,87,-3.5000
link,Max,88,-3.7500
link,Max,89,-4.0000
link,Max,90,-4.2500
link,Max,91,-4.5000
link,Max,92,-4.7500
link,Max,93,-5.0000
link,Max,94,-5.2500
link,Max,95,-5.5000
link,Max,96,-5.7500
link,Max,97,-6.0000
